Gmt time;Open;High;Low;Close;Volume
2024-10-11;2629.68;2661.44;2628.07;2656.33;183283
2024-10-14;2655.57;2666.82;2643.22;2648.07;175211
2024-10-15;2646.36;2668.96;2638.12;2662.61;197473
2024-10-16;2662.1;2685.33;2658.75;2673.77;220209
2024-10-17;2674.41;2696.78;2672.69;2692.83;234550
2024-10-18;2691.83;2722.52;2691.83;2721.88;224558
2024-10-21;2721.08;2740.57;2714.28;2719.11;250931
2024-10-22;2719.5;2748.87;2718.86;2748.45;215597
2024-10-23;2747.14;2758.45;2708.79;2715.86;235898
2024-10-24;2715.32;2743.29;2715.05;2735.87;222883
2024-10-25;2734.58;2747.61;2717.04;2747.33;212170
2024-10-28;2735.56;2745.95;2724.74;2742.14;219976
2024-10-29;2741.54;2774.81;2739.74;2774.66;234817
2024-10-30;2774.03;2790.02;2770.95;2786.89;227029
2024-10-31;2786.99;2790.07;2731.6;2743.78;227927
2024-11-01;2743.22;2762.25;2733.21;2735.88;237851
2024-11-04;2732.97;2748.16;2730.05;2735.55;223913
2024-11-05;2736.02;2749.98;2724.78;2743.86;214570
2024-11-06;2743.2;2749.66;2652.46;2659.28;331836
2024-11-07;2658.78;2710.2;2643.26;2707.18;259616
2024-11-08;2705.02;2710.38;2680.38;2684.13;234188
2024-11-11;2679.81;2686.15;2610.64;2619.46;231956
2024-11-12;2618.74;2627.14;2589.73;2598.28;242586
2024-11-13;2597.63;2618.87;2572.83;2573.06;232173
2024-11-14;2572.2;2581.43;2536.89;2565.39;257925
2024-11-15;2563.77;2576.05;2554.43;2561.58;239163
2024-11-18;2561.28;2615.09;2560.51;2612.17;224715
2024-11-19;2611.02;2639.48;2610.34;2632.54;236445
2024-11-20;2629.3;2655.41;2618.9;2649.84;210022
2024-11-21;2652.02;2673.54;2648.86;2669.62;215906
2024-11-22;2669.15;2715.63;2668.12;2715.42;258874
2024-11-25;2713.57;2721.41;2615.66;2625.49;251271
2024-11-26;2624.16;2641.97;2605.22;2632.91;221297
2024-11-27;2632.51;2658.27;2627.13;2635.46;205329
2024-11-28;2637.0;2649.65;2620.98;2637.6;137687
2024-11-29;2636.97;2666.38;2634.07;2650.3;208662
